Portein1	Protein2	Interaction value	Classifier	GeneSymbol
387337	381914
389605	382646
380834	381575
394562	381128
385916	381225
397622	382809
390755	380871
382706	395574
381091	384766
383185	384381
379614	383507
384416	382809
381073	380483
391565	381275
390998	397024
381868	385271
385916	380850
389843	381575
380834	395574
380929	385408
380834	390998
385045	379102
385774	379546
382706	397024
381575	384948
388219	384743
379650	385774
379698	397210
388083	386182
382706	387525
381575	379670
388083	393858
388219	380929
382750	385160
406562	379288
382077	380172
389605	379670
390359	382706
381930	381234
381502	385271
385271	395574
381868	389843
388219	396430
390446	386741
391565	380580
383530	381445
381456	381520
382555	382037
382750	381753
387337	384280
394388	382809
382750	390755
382646	389027
380929	382621
382750	385665
395573	391291
387148	388184
382555	394003
391263	390755
381914	379102
383550	397210
379546	385271
379716	389130
379650	380580
389843	395574
386741	389835
396430	385408
381502	379288
385916	389130
379546	386709
379650	379698
385271	381445
397181	381554
385270	382287
388184	393106
386570	381225
390755	382981
379650	379936
382456	395574
386580	389618
384280	381492
382661	394918
387337	379702
388555	385740
380322	383037
383441	379716
380228	382396
389602	387525
389605	395574
387148	383428
424300	389835
389605	385271
424300	397622
422366	386741
400160	379546
390359	392912
385916	380850
380322	379761
391189	389139
380322	391164
379702	382225
381575	387525
385270	395253
396814	390023
383428	385408
389843	385271
383636	381554
380929	381377
390446	386167
393858	396917
385916	386570
381502	395574
400160	396998
380277	386223
381502	389027
380834	382456
381456	382639
393320	385160
394388	397622
380834	382646
387337	382396
384416	384381
383344	380749
380685	391304
380483	397001
381520	384948
382862	384234
390845	389618
382938	384381
379650	396811
381502	381274
379341	394918
424300	393728
386491	392544
394388	393728
382750	384956
384092	393763
383344	383581
387337	388407
391565	379698
393858	379811
381502	384948
385045	391291
381456	384948
397622	382621
387337	383917
392544	383356
379702	394918
382661	393319
382456	379670
385045	385391
389843	379416
380834	379670
393319	384964
381575	389027
381868	390998
379698	383550
382938	380736
388083	397596
382070	386714
390998	387525
388219	424300
382938	387148
383342	381868
385045	394063
387337	393320
391565	385271
387337	395977
379670	395574
391452	387822
384948	397024
397622	385408
388083	380013
391565	389843
381456	381502
379160	384641
382938	385408
382555	386277
381234	397001
383342	390359
382680	383372
381914	385987
383342	385713
384416	387148
395253	382287
389605	387525
386570	379716
393858	396917
379698	380580
379288	379670
390446	393728
381520	382646
391565	383344
379884	385880
382456	381445
388184	386741
381575	382456
387337	390755
382706	381445
385916	381530
390998	381445
390359	382456
385391	380952
385391	380952
387302	381358
379288	383530
391565	382639
393319	381492
384416	393728
380929	397622
393319	394918
394562	385270
396071	380379
382661	384416
386741	382621
396430	389835
393106	382809
396736	390133
388219	382938
390446	383185
391565	381178
396998	393201
383530	385271
397237	387822
382037	381314
380929	387148
383609	391164
393201	384956
387168	397504
392912	385271
395574	384948
380483	380850
389602	379288
381868	385489
388184	397237
390755	379546
379288	389605
392912	385489
390446	384381
386741	387822
389792	383320
388083	393201
381753	397285
381914	380788
388219	397622
391565	383609
380580	394918
382938	396430
400160	393201
389843	381502
380736	383185
388083	381914
381456	382646
393319	396043
388083	391565
385499	379546
393106	397420
381377	382809
391565	385987
382396	383278
397237	393728
386741	382809
396430	388184
396430	384743
389843	379288
389602	381520
384743	385408
383185	387822
382809	389835
383093	381073
394388	384743
381456	384948
387148	382621
383344	391452
384743	385045
382862	382396
380557	385665
386570	381073
380557	384280
381575	382639
381456	382639
386741	381377
396430	386741
390023	382862
393106	387822
389843	379670
391565	392912
388743	391516
383185	391452
396814	382555
381520	385271
382261	396998
394832	387822
385270	382234
389602	380834
387337	383344
394724	396043
382621	383428
385271	382639
393106	383428
382555	380736
379526	385656
379288	395574
383185	397622
379416	389027
393241	383185
392596	382354
383185	394832
397001	382200
390023	389792
381445	397024
390359	381575
382938	397622
388083	388491
392912	387525
390359	382639
381456	387525
381091	379102
379288	384948
384381	389835
393173	381178
394388	382621
379288	387525
391565	379614
381456	379288
381073	380850
387525	382639
384416	397622
384948	389027
390359	390998
385656	384641
385045	391291
397237	385408
389843	389027
383037	394918
381456	379288
380322	380435
382862	385987
382750	382981
382938	393728
380277	381539
393728	387822
382809	383428
381502	381575
394832	397237
385499	380109
391565	390998
388083	380013
388219	390446
390446	385408
382661	396043
389843	397024
382972	389602
383160	381914
381234	386570
380010	387593
393858	379811
379416	390998
389843	383530
379416	382706
389605	382706
381575	385271
397420	384641
396814	393163
381456	381575
382639	389027
379702	382052
388083	396736
381456	379670
388083	387302
394562	381128
389605	383530
387337	388555
390359	385271
384416	400335
381868	382639
393319	381638
381520	387525
382555	379160
397237	383428
386810	383550
383530	379670
389602	384948
383581	391084
392912	382639
391565	381575
424300	393106
384381	382621
396430	384641
382938	394832
379288	381575
391565	396736
389843	387525
390359	389843
396814	385987
397622	397237
385270	382287
391565	379416
382456	387525
383185	380929
382661	379716
386570	382555
385774	393858
382456	389027
388219	385408
380685	389130
384416	393106
381502	381520
382938	382809
388083	387168
383581	382070
391291	385391
396430	397420
390133	384964
381868	384948
384743	389835
392046	400160
388219	394832
382750	379546
381502	389605
381040	394063
396430	394832
382456	382646
388184	389835
397622	387822
393319	395011
389602	381064
391565	383342
386741	385408
395253	382287
393319	382862
381575	395574
383185	393106
381528	393592
387337	381620
383342	392912
380483	382200
390446	388184
379670	397024
386741	384381
381445	384948
382456	381520
391565	393319
388219	393728
380685	379716
389605	381445
384416	386741
382661	390452
395093	388835
389024	400063
381502	387525
391565	379775
379288	381520
383185	424300
381868	379670
381868	385016
385271	384948
379761	383037
391565	379650
387302	381358
385916	380483
387302	380580
379716	389130
381234	380557
387219	379341
391263	382981
382261	384956
387525	395574
395573	381274
391565	381091
394388	385408
383160	379416
382456	385271
424300	383428
391565	379670
383530	381445
381502	382456
382706	384948
383342	380834
380929	397420
379288	379670
382644	388407
391565	382456
391164	382077
381445	395574
390755	379884
382555	394003
394388	381377
382862	380788
392912	395574
382862	380228
388083	383344
400160	393201
389835	387822
390845	386580
389605	382639
381456	381575
387337	380109
388083	396998
388219	393106
379698	379936
388743	389602
381225	382200
387337	385499
382052	387395
393858	397210
383530	382639
391565	394918
393241	379160
390359	379323
390998	383530
424300	386167
396814	396043
384416	394388
391565	396811
391565	382706
385916	381225
383609	379716
383342	397024
379670	382639
385271	397024
380834	390998
396998	385656
394918	381492
390446	424300
385774	379546
381234	380483
385916	389792
393106	381377
381868	382456
390998	384948
379416	381575
379698	396811
390359	382646
383530	395574
400160	383550
394388	396430
397622	389835
382261	391084
379698	380580
380228	394003
388219	383185
382862	382361
381456	379670
393106	382621
393106	397237
380228	388390
392912	389027
389605	384948
382555	388389
396814	382862
384381	393106
382555	380736
386570	383441
385774	379811
391565	395574
381502	379670
422366	391516
382225	381753
383185	393728
388184	384641
397024	389027
379670	384948
396430	393728
382555	381314
380322	390452
388083	382261
379670	384948
395573	394063
389605	381520
382809	387822
383344	390845
385271	389027
387337	382750
395574	397024
384416	389618
383530	384948
381868	395574
388083	383064
391565	387525
381502	387525
380834	387525
391565	397024
379546	397210
384743	386741
394562	382287
388219	386741
381868	397024
388219	387148
390998	382646
381530	382981
381040	397420
379670	381520
381456	389843
383093	381225
395253	381128
382706	385271
385916	386570
392046	382981
381575	397024
380228	388390
391565	397596
391565	379936
391565	380580
381868	392912
385436	397210
387051	381753
383344	382070
388083	391647
380322	382077
393106	384641
394832	383428
379670	385271
387337	380685
394388	384743
379102	386714
388184	393106
379416	395574
382037	382938
383530	397024
387337	382706
394562	382287
383530	381520
390023	391164
387051	391189
387337	392046
381868	383530
397622	393728
384743	387822
382938	381377
379670	387525
394388	397237
382661	394724
392912	383530
424300	384381
382938	383185
379614	396811
381575	382646
387148	393728
388083	390755
381358	384280
380277	386713
389605	382456
381502	382639
380834	381520
385987	381389
392544	383356
390755	382555
387337	382661
382750	385877
396430	388184
380929	384743
382077	381753
379670	381520
382037	383185
380834	383530
388184	424300
390446	384743
389843	392912
382646	382639
386570	380850
389843	382456
390023	380172
394918	395011
391565	379526
382646	395574
385774	396917
389835	383428
382639	384948
391263	385774
388083	379650
389605	384948
385045	394063
392046	393201
381502	390998
424300	385408
380850	382200
383093	380483
383185	382809
383185	397237
381502	384948
393728	385408
381520	382639
381868	383530
379288	382456
396430	387822
391565	389602
397622	383428
385271	382646
382261	386714
381502	382706
393173	397210
389602	395574
396736	384964
380228	382555
406562	380736
382037	393241
386570	383441
385499	387051
379546	381178
382661	400335
383441	380483
390359	395574
393858	385436
388083	382862
389835	393728
392046	384956
387302	380580
383160	382862
391565	379288
384743	384381
387302	382862
389602	383530
392046	382261
381520	397024
391565	390359
379102	386580
382456	382639
379650	379775
380228	393241
379670	382646
394918	396043
379288	382639
391164	380435
391565	383530
391565	381445
384416	390446
381178	384328
379650	386422
381575	387525
381502	381445
388083	382981
387337	385665
379614	380277
393592	381613
386741	393728
380834	379416
382456	397024
382862	388706
380685	385665
386491	383356
385916	388555
382938	394003
385774	393858
381456	381445
381575	382456
422366	384964
381456	395574
381554	388286
393241	388389
389602	390359
380834	389027
379698	379614
381456	381868
390023	380435
394063	381274
382621	382809
382938	383428
381377	397237
389602	382456
393320	385880
391291	385391
379288	381520
382661	379545
388083	385555
384743	394832
390998	385271
382456	387525
381868	382646
383342	382706
379702	389139
381456	381520
382938	384743
386570	379160
382456	385271
381868	381445
382354	396736
382621	385408
381575	381520
384280	381638
380929	388184
394832	393728
387148	394832
381575	384948
392912	381520
388083	381575
383530	382646
381502	379288
381377	385408
390998	389605
380834	379288
380228	394003
424300	381377
424300	382621
387302	382862
391189	388428
387337	382354
389602	381502
382938	382621
387337	385656
382555	382037
390446	389835
390446	397237
380929	424300
383377	379345
392912	382456
380228	380736
387148	382809
380109	385160
386491	392544
387525	397024
383428	393728
387337	394724
383342	381520
379416	387525
396430	424300
381520	395574
383185	396430
382706	383530
388219	387822
389024	400063
379761	383037
382706	382456
387337	386807
396736	380277
388184	397622
384969	387428
379650	379698
380834	379323
381377	383428
380834	389605
397237	389835
394388	384381
387337	386908
390446	394388
389602	382706
383342	395574
387337	387428
381456	380834
382261	393201
388083	389581
382661	389130
392046	386810
385774	379811
381456	381914
384092	381070
390023	382555
381520	389027
382261	388555
381456	382706
383093	380483
383441	383093
382862	382981
381868	389027
381234	383441
389843	390998
389602	389843
382750	392046
424300	381699
379670	381445
388184	385408
389024	381234
381091	386713
397622	393106
386741	397237
380929	397237
382750	396998
390359	379288
381868	379416
383441	389130
382646	381554
384743	393728
387148	384381
388083	391263
391565	389605
382938	386741
388184	382809
381358	380580
381234	381225
380685	383441
387148	385408
384856	381073
383185	388184
381234	394918
396814	394918
387337	383278
390452	394918
385916	397001
388083	392046
384381	384641
380929	393728
391565	379526
397210	386223
389792	381753
392912	381445
382646	384948
387772	389618
385270	381128
382938	388184
380834	381445
396430	393106
380834	385489
379546	383320
388083	381091
390359	380834
380815	393201
383093	382687
379811	396917
379288	397024
389602	389605
380834	385271
397622	381377
391565	381456
383344	388555
390359	381868
391565	389792
390998	382639
381868	389605
381868	381575
395574	389027
381445	389027
388743	382972
388184	382621
390446	381377
382972	422366
391565	379775
381868	381502
380277	385980
385916	383441
380228	382555
390359	383530
381389	381620
391263	393320
393201	386810
380834	392912
390845	379288
379650	381091
379546	393858
379702	391189
383093	380850
381456	390998
406562	380871
385160	382981
381234	386709
394003	381314
392912	397024
389605	382456
383185	391452
383185	381377
385270	395253
379416	383530
382621	393728
383581	391084
384416	388219
390359	379416
380322	380435
380685	386570
424300	387822
379614	396811
380322	379761
394388	424300
393319	384956
384416	382621
383441	380483
384743	383428
379546	393173
390023	380322
380929	388184
388083	387302
390998	389027
384295	383377
421016	379526
396430	381377
391263	381753
390755	381000
379670	389027
382555	393241
380929	396430
390845	385045
381456	383530
390998	379670
390023	382077
389605	379670
382456	384948
382261	383344
385271	384948
384416	394832
382661	394724
389843	379416
382750	392046
381377	387822
386570	382200
382706	389027
389843	382639
381073	381225
384416	380929
389605	385271
382456	379670
388184	383428
394918	381638
383441	381225
379670	385271
390998	392912
381040	385045
380834	381445
379416	382646
388555	383581
380929	386741
383185	385408
392046	385877
388219	382621
379416	382639
390359	397024
383093	397001
387337	384416
387148	386741
380228	379160
382750	397596
385916	381073
380228	400063
381575	382639
394918	389542
396814	385665
390998	395574
384381	394832
389024	389985
381377	394832
385499	394918
391565	381502
385499	381753
400063	393858
386741	393106
381073	382200
381234	381073
379416	389605
394388	386741
381234	383093
387525	384948
393858	383320
382037	394003
384416	385408
382077	380435
380929	384381
394388	387822
384416	397237
391565	379698
387525	382639
382621	394832
389843	382706
389843	389605
389602	397024
381868	387525
389843	381520
380736	394003
390998	379288
379702	388428
379288	381575
380929	393106
381456	387525
380580	421016
389602	381914
391164	382077
391263	385774
391565	383344
400160	396998
388083	385774
389605	389027
381502	382456
384381	381377
386570	380483
390446	382621
393163	381530
393106	385408
381502	392912
386570	397001
380580	382680
389792	385665
380493	379614
387337	383917
396998	381554
386570	383093
382938	393241
388184	394832
379702	382862
388219	394388
386741	397622
380435	385271
381225	380850
390446	397622
391263	421016
380580	421016
382037	394003
383441	380850
384416	383185
382621	389835
396430	383428
384381	393728
383377	379345
389602	381456
393319	397001
382938	387822
379761	390452
384381	385408
396430	384381
383609	389130
390446	396430
388219	388184
387148	396430
385271	382639
380736	394003
390359	379670
379416	397024
381456	390359
390359	389027
388083	391189
381868	381520
381234	382200
397738	388491
393106	394832
383609	383441
379288	385271
396917	391291
379702	382396
393106	393728
391565	390755
383185	389835
387337	382361
396814	387051
384416	389835
392912	382646
384381	387822
380557	384280
387302	379614
380834	381502
389024	381930
384416	387822
385774	396917
392912	379670
381868	379288
391565	394918
396430	382809
382938	380929
379416	381445
397001	380850
385916	382200
394388	393106
389843	384948
384416	382938
380929	383428
381456	389605
390998	382706
382456	381520
383530	382456
382621	397237
386741	393728
388083	383859
381456	381502
380493	385436
381456	382456
388083	383344
387148	397237
381575	392912
388219	384381
391452	387822
389605	381520
380736	393241
388083	382261
381502	381575
380685	379716
389605	392912
391565	396811
379670	382639
394388	389835
387148	384743
391565	385665
391565	381753
379811	396917
380483	381225
387337	382200
397738	386182
384234	381756
391084	382070
381699	390640
397001	394918
379288	381445
389602	381868
385271	387525
382750	386810
380929	382809
379288	392912
388083	382354
387822	385408
382555	382938
384092	395977
382261	400160
394388	380929
390359	381445
387337	384280
388083	386277
382037	380736
391565	382646
382639	397024
392046	393320
379614	385436
383441	381073
379650	380580
383185	394003
386741	394832
384743	381377
390446	380929
380322	390452
389602	381575
381502	382646
393241	385740
379416	382456
